,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,ID,gr_engine_active,sm_active,sm_occupancy,dram_active,fp64_active,fp32_active,fp16_active,pcie_tx_bytes,pcie_rx_bytes,gpu_utilization,MCUTL,MUSAM,GUSAM,power_usage,TOTEC,pstate,gpu_temp,memory_temp,sm_clock,run_time,application,sm_app_clock,fp_active,predicted_power_usage,n_run_time,predicted_n_run_time,energy,n_energy,predicted_n_energy
50,50,50,50,0.0,0.8544487,0.76426923,0.51832557,0.025617512,0.0053689927,0.25532454,0.0,46875936.73864385,287745229.5167873,84.08624,2.9644504,2.9364715,83.58986,114.648056,2851.87830118499,0.0,30.831797,44.75247,660.0,25.045454666666668,NAMD,660,0.13303126269999999,120.4038,0.836735103417735,0.8950178,2871.4126891694614,95.93005299380228,107.76354451457263
51,51,51,51,0.0,0.854846,0.76360667,0.5129899,0.025302596,0.005393614,0.25646225,0.0,40255493.00895255,225041051.7323187,83.98657,2.9612057,2.9259923,83.468216,113.656654,2861.2624941808417,0.0,30.78872,44.777378,645.0,25.403645,NAMD,645,0.133624739,119.61078,0.8487017628213588,0.9082703,2887.2932901038303,96.46060260617725,108.63891896621347
52,52,52,52,0.0,0.8558651,0.7677727,0.5202029,0.024749411,0.005488516,0.26057303,0.0,43531656.88398115,254098937.9952885,83.89429,2.9620142,2.913722,83.35188,112.36091,2886.319551236749,0.0,30.752356,44.775326,630.0,25.872885333333333,NAMD,630,0.135775031,119.03991,0.8643784540240141,0.92125833,2907.1009403789867,97.12234967853139,109.66650873103738
53,53,53,53,0.0,0.8634418,0.7708839,0.52054965,0.023876278,0.0054012486,0.25563052,0.0,45383197.00681044,265185463.5970488,85.103294,2.9602723,2.8828037,84.48241,110.9024,2916.412842792282,0.0,30.58655,44.687572,615.0,26.52821133333333,NAMD,615,0.1332165086,117.68423,0.886272018172886,0.9331594,2942.0423045738667,98.28969386821667,109.81814674531877
54,54,54,54,0.0,0.8627266,0.7716469,0.52502686,0.023561556,0.005447678,0.25620285,0.0,34992596.931169555,194751052.48433128,85.084496,2.969502,2.562395,84.63039,109.61381,2951.6191315053165,0.0,30.27756,44.656967,600.0,27.02605266666667,NAMD,600,0.133549103,116.77119,0.9029042304875101,0.9447789,2962.4286020539935,98.97077276885415,110.32295868422986
55,55,55,55,0.0,0.86791605,0.77807736,0.5303251,0.023289163,0.005588203,0.25964803,0.0,38139667.33443072,211381788.33443072,85.44609,2.9618657,2.139369,84.961044,108.9293,2968.584950342936,0.0,30.106997,44.6107,585.0,27.307156666666668,NAMD,585,0.13541221799999997,116.231285,0.9122955387165511,0.955978,2974.5494606903335,99.3757144255168,111.11454861962586
56,56,56,56,0.0,0.87333316,0.7805137,0.5288352,0.023049064,0.0056524803,0.26384494,0.0,30927967.015180267,151897628.1444836,85.84413,2.9590676,1.9845487,85.430466,107.703896,3011.8094643534832,0.0,29.891027,44.46056,570.0,28.24099533333333,NAMD,570,0.1375749503,115.780014,0.9434938381177096,0.9667843,3041.6652243178182,101.61796221727063,111.93429960604226
57,57,57,57,0.0,0.87358326,0.78842103,0.5375389,0.022538092,0.0056238975,0.2667776,0.0,39348799.541833736,222934119.3696873,86.245125,2.95135,1.9770114,85.61989,107.3239,3007.238280673617,0.0,29.877573,44.387596,555.0,28.152798333333333,NAMD,555,0.1390126975,115.231606,0.9405472944474783,0.97704446,3021.468113046833,100.94320377455172,112.58640262306427
58,58,58,58,0.0,0.87608296,0.7868035,0.53444165,0.022220686,0.0056897104,0.2648979,0.0,44483102.57670832,265932908.2084552,86.51742,2.95799,1.9763361,85.96543,106.30059,3039.3628846051583,0.0,29.865461,44.423557,540.0,28.750782666666662,NAMD,540,0.1381386604,114.43975,0.9605251502960996,0.9867117,3056.2251604284397,102.10439018631406,112.91903808303178
59,59,59,59,0.0,0.88227606,0.7969881,0.54050565,0.021755412,0.005539433,0.27171135,0.0,36453320.74072165,196535303.2631444,87.07397,2.9541237,1.9755155,86.61469,105.13216,3090.1810097938146,0.0,29.825258,44.26959,525.0,29.618911666666666,NAMD,525,0.14139510800000002,114.11785,0.9895281777221382,0.99658465,3113.9001603658667,104.03123470479227,113.72809804085493
60,60,60,60,0.0,0.88314974,0.7971081,0.54213727,0.021141669,0.0057751494,0.27101898,0.0,45981361.67195217,279947450.063426,87.005455,2.9415128,1.9766052,86.47362,103.89179,3107.5133197296595,0.0,29.697166,43.891865,510.0,29.932358,NAMD,510,0.14128463940000002,113.42504,1.0,1.0055709,3109.72625154082,103.89179,114.05691825313568
